popularity,danceability,energy,loudness,tempo,genre
79,0.427,0.9,-3.674,104.655,11
65,0.683,0.734,-4.523,106.254,11
74,0.179,0.912,-3.881,182.99,11
71,0.746,0.7,-4.669,176.044,5
72,0.754,0.805,-4.249,93.982,5
69,0.722,0.738,-6.073,198.075,5
0,0.622,0.942,-6.365,130.003,5
76,0.786,0.808,-3.702,105.027,5
75,0.807,0.803,-4.156,91.987,5
53,0.548,0.701,-4.862,104.237,5
77,0.817,0.539,-6.349,97.062,5
81,0.61,0.624,-4.773,176.169,5
51,0.736,0.719,-3.839,90.013,5
74,0.594,0.749,-5.298,179.968,5
76,0.903,0.675,-3.445,96.507,5
11,0.857,0.801,-6.499,96.009,5
71,0.783,0.84,-3.416,95.001,5
79,0.737,0.86,-2.652,93.989,5
68,0.6,0.796,-4.481,105.991,6
79,0.331,0.943,-3.188,94.612,6
72,0.19,0.265,-9.206,79.012,6
65,0.45,0.883,-4.094,93.41,6
72,0.425,0.852,-5.607,101.968,6
73,0.603,0.933,-3.358,96.306,6
70,0.595,0.489,-6.66,120.315,6
83,0.64,0.74,-4.083,116.879,6
66,0.427,0.843,-4.54,147.387,6
67,0.862,0.583,-6.26,103.019,15
46,0.679,0.922,-4.67,129.016,15
64,0.828,0.653,-6.245,68.507,15
57,0.863,0.527,-6.896,129.054,15
57,0.625,0.699,-6.416,75.974,15
80,0.773,0.758,-4.993,144.033,15
71,0.625,0.85,-3.904,94.661,15
57,0.736,0.81,-6.354,125.011,15
43,0.762,0.754,-3.425,129.026,15
51,0.853,0.911,-6.722,131.012,15
65,0.657,0.941,-3.919,136.202,15
74,0.495,0.894,-4.814,126.03,15
66,0.607,0.923,-6.777,184.819,15
56,0.733,0.744,-3.51,92.515,15
73,0.885,0.581,-8.813,114.016,15
40,0.661,0.746,-5.153,144.188,15
17,0.847,0.861,-6.632,127.894,15
58,0.764,0.487,-6.734,116.027,15
42,0.561,0.452,-7.324,77.984,15
57,0.805,0.754,-6.825,128.429,15
57,0.807,0.887,-3.892,160.517,15
66,0.83,0.52,-8.714,104.99,15
67,0.68,0.87,-4.461,119.075,1
50,0.616,0.596,-5.035,137.077,1
53,0.678,0.739,-5.068,127.037,1
50,0.481,0.849,-5.131,205.57,1
56,0.576,0.726,-4.625,136.802,1
0,0.561,0.936,-5.409,103.055,1
69,0.537,0.674,-5.134,136.002,1
64,0.606,0.497,-6.611,130.739,1
57,0.457,0.948,-3.364,148.0,1
58,0.837,0.885,-3.914,95.313,2
57,0.757,0.706,-6.665,96.976,2
68,0.794,0.614,-5.352,80.569,2
78,0.812,0.496,-5.969,109.979,2
69,0.88,0.814,-6.307,138.083,2
59,0.8,0.922,-5.125,98.631,2
63,0.618,0.844,-4.051,84.411,2
71,0.759,0.678,-5.148,89.64,2
56,0.714,0.862,-5.531,92.849,2
53,0.779,0.655,-7.147,163.971,2
76,0.687,0.793,-4.254,107.045,2
82,0.491,0.956,-1.538,173.585,2
75,0.632,0.924,-1.802,86.844,2
65,0.637,0.69,-3.214,140.329,2
82,0.789,0.858,-5.542,140.022,2
62,0.676,0.534,-6.901,145.082,2
63,0.703,0.867,-4.292,128.008,2
72,0.876,0.662,-6.482,75.445,2
86,0.949,0.661,-4.244,104.504,2
83,0.78,0.768,-4.325,80.063,2
87,0.908,0.669,-2.827,112.238,2
85,0.548,0.847,-3.237,171.447,2
71,0.908,0.758,-4.753,148.015,2
77,0.686,0.735,-4.616,171.355,2
71,0.668,0.824,-4.164,163.961,2
67,0.94,0.633,-3.56,121.003,2
48,0.52,0.768,-3.489,79.178,2
52,0.646,0.796,-6.152,83.093,2
77,0.637,0.678,-3.798,84.039,2
67,0.52,0.768,-3.489,79.178,2
74,0.963,0.643,-5.785,107.005,2
68,0.618,0.746,-5.476,75.272,2
63,0.924,0.853,-1.203,114.003,2
70,0.516,0.874,-2.571,169.561,2
81,0.749,0.925,-5.034,86.989,2
79,0.855,0.954,-1.19,114.635,2
75,0.781,0.853,-3.68,110.049,2
66,0.739,0.872,-4.059,95.084,2
72,0.748,0.749,-5.916,90.09,2
54,0.656,0.88,-5.425,85.565,2
78,0.772,0.639,-7.119,168.112,2
42,0.931,0.387,-9.127,125.978,2
63,0.66,0.775,-4.926,157.036,2
68,0.802,0.341,-8.56,166.01,2
82,0.922,0.909,-2.429,95.295,2
79,0.924,0.74,-1.299,133.974,2
71,0.594,0.946,-4.521,155.826,2
0,0.667,0.61,-7.054,99.991,2
80,0.837,0.364,-11.713,123.984,2
57,0.766,0.851,-4.831,115.012,2
1,0.906,0.382,-12.89,104.025,2
74,0.663,0.694,-8.627,167.953,2
82,0.818,0.705,-6.679,138.559,2
73,0.76,0.891,-5.852,120.264,2
72,0.88,0.443,-6.359,138.018,2
79,0.963,0.346,-9.309,119.957,2
77,0.534,0.583,-8.672,105.997,2
64,0.936,0.523,-6.71,119.889,2
0,0.819,0.768,-8.522,139.982,2
74,0.884,0.347,-8.227,75.016,2
78,0.837,0.636,-7.643,145.972,2
78,0.745,0.642,-6.257,179.974,2
76,0.886,0.427,-10.028,108.034,2
77,0.729,0.625,-5.266,146.034,2
63,0.758,0.957,-2.281,111.121,2
76,0.853,0.693,-6.87,95.967,2
84,0.511,0.566,-7.23,83.903,2
53,0.685,0.692,-5.122,159.966,2
73,0.637,0.834,-4.686,87.312,2
76,0.571,0.739,-6.11,83.089,2
